Title, Career, Grading, Class Number, Type, Credits, GE, Status, Available Seats, Enrollment Cap, Enrolled, WaitCap, WaitList
['\n        ANTH 229 - 01\xa0\xa0 Constructing Regions    ', 'Graduate', 'Student Option', '40922', 'Seminar', '5 units', '\xa0', ' Open', '3', '10', '7', '0', '0']
['\n        ANTH 238 - 01\xa0\xa0 Advanced Topics in Cultural Anthropology    ', 'Graduate', 'Student Option', '40923', 'Seminar', '5 units', '\xa0', ' Open', '7', '10', '3', '0', '0']
['\n        ANTH 252 - 01\xa0\xa0 Survey of Cultural Anthropological Theory    ', 'Graduate', 'Student Option', '43945', 'Seminar', '5 units', '\xa0', ' Open', '21', '76', '55', '0', '0']
['\n        ANTH 268A - 01\xa0\xa0 Rethinking Capitalism    ', 'Graduate', 'Student Option', '42941', 'Seminar', '5 units', '\xa0', ' Open', '4', '15', '11', '0', '0']
['\n        ANTH 270B - 01\xa0\xa0 Current Directions in Archaeological Theory    ', 'Graduate', 'Student Option', '43139', 'Seminar', '5 units', '\xa0', ' Open', '3', '5', '2', '0', '0']
['\n        ANTH 292 - 01\xa0\xa0 Graduate Colloquium    ', 'Graduate', 'Student Option', '40924', 'Seminar', '2 units', '\xa0', ' Open', '38', '40', '2', '0', '0']
['\n        ANTH 294R - 01\xa0\xa0 Advanced Readings in Biological Anthropology    ', 'Graduate', 'Student Option', '40925', 'Seminar', '5 units', '\xa0', ' Open', '5', '10', '5', '0', '0']
['\n        APLX 80 - 01\xa0\xa0 Introduction to Applied Linguistics    ', 'Undergraduate', 'Student Option', '43605', 'Lecture', '5 units', 'PE-H', ' Open', '1', '34', '33', '0', '0']
['\n        APLX 101 - 01\xa0\xa0 Second-Language Acquisition    ', 'Undergraduate', 'Student Option', '43150', 'Lecture', '5 units', '\xa0', ' Closed', '0', '25', '27', '0', '0']
['\n        APLX 102 - 01\xa0\xa0 Bilingualism    ', 'Undergraduate', 'Student Option', '43151', 'Lecture', '5 units', '\xa0', ' Closed', '0', '25', '28', '0', '0']
['\n        ART 10D - 01\xa0\xa0 2D Foundation    ', 'Undergraduate', 'Student Option', '43084', 'Lecture', '5 units', 'IM', ' Closed', '0', '0', '182', '0', '0']
['\n        ART 20G - 01\xa0\xa0 Introduction to Print Media and Drawing    ', 'Undergraduate', 'Student Option', '43093', 'Studio', '5 units', 'PR-C', ' Closed', '0', '0', '26', '0', '0']
['\n        ART 20H - 01\xa0\xa0 Introduction to Sculpture and Public Art    ', 'Undergraduate', 'Student Option', '43097', 'Studio', '5 units', 'PR-C', ' Closed', '0', '0', '25', '0', '0']
['\n        ART 20I - 01\xa0\xa0 Introduction to Photography    ', 'Undergraduate', 'Student Option', '43098', 'Studio', '5 units', 'PR-C', ' Closed', '0', '0', '29', '0', '0']
['\n        ART 20J - 01\xa0\xa0 Introduction to Drawing and Painting    ', 'Undergraduate', 'Student Option', '43099', 'Studio', '5 units', 'PR-C', ' Closed', '0', '0', '27', '0', '0']
['\n        ART 80T - 01\xa0\xa0 Digital Tools for Contemporary Art Practice    ', 'Undergraduate', 'Student Option', '43240', 'Lecture', '5 units', 'PE-T', ' Closed', '0', '0', '326', '0', '0']
['\n        ART 80X - 01\xa0\xa0 Ars Erotica: Sexual Imagery in Culture and Art    ', 'Undergraduate', 'Student Option', '43206', 'Lecture', '5 units', 'PE-H', ' Open', '2', '200', '198', '0', '0']
['\n        ART 106E - 01\xa0\xa0 3D Modeling and Animation    ', 'Undergraduate', 'Student Option', '40928', 'Studio', '5 units', '\xa0', ' Closed', '0', '0', '17', '0', '0']
['\n        ART 108 - 01\xa0\xa0 New Media and Social Practice Artmaking    ', 'Undergraduate', 'Student Option', '43102', 'Studio', '5 units', '\xa0', ' Open', '12', '23', '11', '0', '0']
['\n        ART 119 - 01\xa0\xa0 Special Topics in Drawing    ', 'Undergraduate', 'Student Option', '42912', 'Studio', '5 units', '\xa0', ' Closed', '0', '0', '24', '0', '0']
['\n        ART 133 - 01\xa0\xa0 Abstract Painting    ', 'Undergraduate', 'Student Option', '43019', 'Studio', '5 units', '\xa0', ' Closed', '0', '0', '26', '0', '0']
['\n        ART 139 - 01\xa0\xa0 Special Topics in Painting    ', 'Undergraduate', 'Student Option', '40926', 'Studio', '5 units', '\xa0', ' Open', '1', '24', '23', '0', '0']
['\n        ART 147T - 01\xa0\xa0 Design Studio: Costume    ', 'Undergraduate', 'Student Option', '42539', 'Studio', '5 units', 'IM', ' Closed', '3', '35', '32', '0', '0']
['\n        ART 156 - 01\xa0\xa0 Project Development in Photography    ', 'Undergraduate', 'Student Option', '43103', 'Studio', '5 units', '\xa0', ' Open', '3', '23', '20', '0', '0']
['\n        ART 159 - 01\xa0\xa0 Special Topics in Photography    ', 'Undergraduate', 'Student Option', '40929', 'Studio', '5 units', '\xa0', ' Closed', '0', '0', '25', '0', '0']
['\n        ART 168 - 01\xa0\xa0 Photo-Based Printmaking    ', 'Undergraduate', 'Student Option', '42953', 'Studio', '5 units', '\xa0', ' Open', '11', '25', '14', '0', '0']
['\n        ART 169 - 01\xa0\xa0 Special Topics in Printmaking    ', 'Undergraduate', 'Student Option', '40927', 'Studio', '5 units', '\xa0', ' Open', '11', '22', '11', '0', '0']
['\n        ART 172 - 01\xa0\xa0 Public Art: Memory, Landscape, and Artist as Activist    ', 'Undergraduate', 'Student Option', '42663', 'Studio', '5 units', '\xa0', ' Open', '7', '24', '17', '0', '0']
['\n        ART 180B - 01\xa0\xa0 Sculpture II    ', 'Undergraduate', 'Student Option', '40930', 'Studio', '5 units', '\xa0', ' Open', '11', '25', '14', '0', '0']
['\n        ART 185 - 01\xa0\xa0 3D Art and Design: Printing and Prototyping    ', 'Undergraduate', 'Student Option', '43270', 'Studio', '5 units', '\xa0', ' Open', '13', '25', '12', '0', '0']
['\n        ART 190A - 01\xa0\xa0 Writing for Artists    ', 'Undergraduate', 'Student Option', '42813', 'Lecture', '5 units', 'PE-T', ' Open', '31', '144', '113', '0', '0']
['\n        ARTG 80H - 01\xa0\xa0 History of Digital Games    ', 'Undergraduate', 'Student Option', '43120', 'Lecture', '5 units', 'PE-T', ' Open', '3', '200', '197', '0', '0']
['\n        ARTG 118 - 01\xa0\xa0 Digital Drawing/Painting for Game Design    ', 'Undergraduate', 'Student Option', '43058', 'Studio', '5 units', '\xa0', ' Closed', '0', '20', '21', '0', '0']
['\n        ARTG 129 - 01\xa0\xa0 Special Topics in Game Design    ', 'Undergraduate', 'Student Option', '43245', 'Studio', '5 units', '\xa0', ' Closed', '0', '25', '27', '0', '0']
['\n        ARTG 129 - 02\xa0\xa0 Special Topics in Game Design    ', 'Undergraduate', 'Student Option', '43246', 'Studio', '5 units', '\xa0', ' Open', '1', '25', '24', '0', '0']
['\n        ARTG 129 - 03\xa0\xa0 Special Topics in Game Design    ', 'Undergraduate', 'Student Option', '43247', 'Studio', '5 units', '\xa0', ' Closed', '0', '30', '30', '0', '0']
['\n        ARTG 171 - 01\xa0\xa0 Game Design Studio II    ', 'Undergraduate', 'Student Option', '43178', 'Studio', '7 units', '\xa0', ' Open', '1', '73', '72', '0', '0']
['\n        ARTG 176 - 01\xa0\xa0 Game Design Collaborative    ', 'Undergraduate', 'Pass/Not Pass', '43822', 'Seminar', '2 units', '\xa0', ' Open', '30', '30', '0', '0', '0']
['\n        ASTR 3 - 01\xa0\xa0 Introductory Astronomy: Planetary Systems    ', 'Undergraduate', 'Student Option', '40931', 'Lecture', '5 units', 'MF', ' Open', '6', '224', '218', '0', '0']
['\n        ASTR 6 - 01\xa0\xa0 The Space-Age Solar System    ', 'Undergraduate', 'Student Option', '40932', 'Lecture', '5 units', 'SI', ' Open', '1', '250', '249', '0', '0']
['\n        ASTR 9A - 01\xa0\xa0 Introduction to Research in Physics and Astrophysics    ', 'Undergraduate', 'Student Option', '43259', 'Seminar', '2 units', '\xa0', ' Closed', '0', '10', '10', '0', '0']
['\n        ASTR 9A - 02\xa0\xa0 Introduction to Research in Physics and Astrophysics    ', 'Undergraduate', 'Student Option', '43260', 'Seminar', '2 units', '\xa0', ' Closed', '0', '10', '16', '0', '0']
['\n        ASTR 113 - 01\xa0\xa0 Introduction to Cosmology    ', 'Undergraduate', 'Student Option', '40933', 'Lecture', '5 units', '\xa0', ' Closed', '0', '40', '41', '0', '0']
['\n        ASTR 135B - 01\xa0\xa0 Astrophysics Advanced  Laboratory    ', 'Undergraduate', 'Multi-Term Course', '42559', 'Laboratory', '2 units', '\xa0', ' Closed', '1', '20', '19', '0', '0']
['\n        ASTR 220C - 01\xa0\xa0 Advanced Stages of Stellar Evolution and Nucleosynthesis    ', 'Graduate', 'Student Option', '40934', 'Lecture', '5 units', '\xa0', ' Open', '13', '20', '7', '0', '0']
['\n        ASTR 226 - 01\xa0\xa0 General Relativity    ', 'Graduate', 'Student Option', '42285', 'Lecture', '5 units', '\xa0', ' Open', '18', '25', '7', '0', '0']
['\n        ASTR 257 - 01\xa0\xa0 Modern Astronomical Techniques    ', 'Graduate', 'Student Option', '40935', 'Lecture', '5 units', '\xa0', ' Closed', '0', '15', '15', '0', '0']
['\n        ASTR 292 - 01\xa0\xa0 Seminar    ', 'Graduate', 'Student Option', '40936', 'Seminar', '0 units', '\xa0', ' Open', '53', '85', '32', '0', '0']
